Proteins	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	"Genes of polypeptide, complex, or RNA"	Pathways of enzyme	UniProt-via-RefSeq	NCBI-Protein	Data-Source	Pfam
acetate--CoA ligase	acetyl-CoA biosynthetic process from acetate		metal ion binding // ligase activity // AMP binding // ATP binding // acetate-CoA ligase activity // catalytic activity // nucleotide binding	acs	acetate conversion to acetyl-CoA	WP_011862635.1	WP_011862635.1		PF16177
bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH	metabolic process // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process		hydrolase activity // transferase activity // phosphoribosylaminoimidazolecarboxamide formyltransferase activity // IMP cyclohydrolase activity // catalytic activity	P9301_RS10505	superpathway of purine nucleotides <i>de novo</i> biosynthesis I // inosine-5'-phosphate biosynthesis I // inosine-5'-phosphate biosynthesis II	WP_011862307.1	WP_011862307.1		PF02142
Uncharacterized protein conserved in bacteria				P9301_RS18370		WP_144038822.1	WP_144038822.1		
demethylphylloquinol methyltransferase				menG	phylloquinol biosynthesis	WP_011862453.1	WP_011862453.1		PF01209
cofactor assembly of complex C subunit B		integral component of membrane // membrane		P9301_RS13875		WP_011862963.1	WP_011862963.1		PF11152
elongation factor Tu	translational elongation // translation	cytoplasm	GTP binding // GTPase activity // translation elongation factor activity // nucleotide binding	tuf		WP_002806605.1	WP_002806605.1		PF00009
photosystem II S4 domain protein			RNA binding	P9301_RS16435		WP_011863468.1	WP_011863468.1		
"9,9'-di-cis-zeta-carotene desaturase"	carotenoid biosynthetic process		"7,9,9'-tricis-neurosporene:quinone oxidoreductase activity // 9,9'-dicis-carotene:quinone oxidoreductase activity // carotene 7,8-desaturase activity // oxidoreductase activity"	zds	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	WP_011862158.1	WP_011862158.1		PF01593
acetolactate synthase small subunit	regulation of catalytic activity // branched-chain amino acid biosynthetic process		acetolactate synthase regulator activity // transferase activity // acetolactate synthase activity	ilvN	L-valine biosynthesis // superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine)	WP_011818754.1	WP_011818754.1		PF13710
peptide-methionine (R)-S-oxide reductase MsrB	protein repair // response to oxidative stress		"peptide-methionine (R)-S-oxide reductase activity // oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor // oxidoreductase activity"	msrB		WP_011862042.1	WP_011862042.1		PF01641
LysR family transcriptional regulator	"regulation of transcription, DNA-templated"		DNA-binding transcription factor activity // DNA binding	P9301_RS09900		WP_011862192.1	WP_011862192.1		PF00126
hypothetical protein				P9301_RS15795		WP_011863350.1	WP_011863350.1		
acyl carrier protein	fatty acid biosynthetic process // fatty acid metabolic process // lipid metabolic process	cytoplasm	acyl carrier activity	acpP		WP_002808065.1	WP_002808065.1		PF00550
SOS response-associated peptidase	proteolysis		hydrolase activity // peptidase activity	P9301_RS15130		WP_011863219.1	WP_011863219.1		PF02586
hypothetical protein				P9301_RS09415		WP_011862095.1	WP_011862095.1		
50S ribosomal protein L20	translation // ribosomal large subunit assembly	ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rplT		WP_011863757.1	WP_011863757.1		PF00453
TIGR03894 family protein				P9301_RS10905		WP_011862374.1	WP_011862374.1		
phosphoserine phosphatase				serB	superpathway of L-serine and glycine biosynthesis I // L-serine biosynthesis I	WP_011862534.1	WP_011862534.1		PF00300
alpha/beta hydrolase	lipid catabolic process		hydrolase activity // 1-alkyl-2-acetylglycerophosphocholine esterase activity	P9301_RS14570		WP_011863106.1	WP_011863106.1		PF07176
ClpR	proteolysis	cytoplasm	hydrolase activity // serine-type peptidase activity // peptidase activity // serine-type endopeptidase activity	clpR		WP_011863429.1	WP_011863429.1		PF00574
DUF3593 domain-containing protein		integral component of membrane // membrane		P9301_RS13665		WP_011862925.1	WP_011862925.1		PF12159
photosynthesis system II assembly factor Ycf48				P9301_RS10660		WP_011862336.1	WP_011862336.1		PF14870
co-chaperone GroES	protein folding	cytoplasm	ATP binding	P9301_RS16755		WP_002806275.1	WP_002806275.1		PF00166
hypothetical protein				P9301_RS13515		WP_011862895.1	WP_011862895.1		
heme oxygenase	heme oxidation		metal ion binding // oxidoreductase activity // heme oxygenase (decyclizing) activity	ho1	phycocyanobilin biosynthesis // phycoerythrobilin biosynthesis I // heme degradation II	WP_011863697.1	WP_011863697.1		PF01126
Conserved hypothetical membrane protein				P9301_RS14330		WP_011863058.1	WP_011863058.1		
TolC family protein	transmembrane transport		efflux transmembrane transporter activity	P9301_RS09630		WP_011862140.1	WP_011862140.1		PF02321
arylesterase				P9301_RS12630		WP_011862711.1	WP_011862711.1		PF13472
sulfate adenylyltransferase	sulfate assimilation		nucleotidyltransferase activity // transferase activity // sulfate adenylyltransferase (ATP) activity	sat	selenate reduction // sulfate activation for sulfonation	WP_011862270.1	WP_011862270.1		PF14306
CCA tRNA nucleotidyltransferase	tRNA processing // RNA processing		metal ion binding // nucleotidyltransferase activity // transferase activity // polynucleotide adenylyltransferase activity // RNA binding // nucleotide binding	P9301_RS09870		WP_011862186.1	WP_011862186.1		PF01743
5-(carboxyamino)imidazole ribonucleotide synthase	'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process		metal ion binding // 5-(carboxyamino)imidazole ribonucleotide synthase activity // ligase activity // lyase activity // ATP binding // phosphoribosylaminoimidazole carboxylase activity // nucleotide binding	P9301_RS12695	inosine-5'-phosphate biosynthesis I	WP_011862724.1	WP_011862724.1		PF02222
GDT1 family protein		integral component of membrane // membrane		P9301_RS13970		WP_011862984.1	WP_011862984.1		PF01169
type I glyceraldehyde-3-phosphate dehydrogenase	glucose metabolic process		"NAD binding // NADP binding // oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor // oxidoreductase activity // nucleotide binding"	gap	glycolysis III (from glucose) // Entner-Doudoroff pathway I	WP_011862050.1	WP_011862050.1		PF00044
MSMEG_0570 family nitrogen starvation response protein				P9301_RS15300		WP_011863256.1	WP_011863256.1		
potassium channel protein	cation transmembrane transport // potassium ion transport // ion transport	integral component of membrane // membrane	cation transmembrane transporter activity	P9301_RS12815		WP_011376270.1	WP_011376270.1		PF07885
DUF721 domain-containing protein				P9301_RS11295		WP_144038813.1	WP_144038813.1		PF05258
porin	transmembrane transport // carbohydrate transport	integral component of membrane	porin activity	P9301_RS14945		WP_011863176.1	WP_011863176.1		PF04966
periplasmic phosphonate-binding protein				phnD		WP_011862714.1	WP_011862714.1		PF12974
class I SAM-dependent methyltransferase				P9301_RS15930		WP_011863375.1	WP_011863375.1		PF13847
50S ribosomal protein L4	translation	ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rplD		WP_011863659.1	WP_011863659.1		PF00573
hypothetical protein				P9301_RS11550		WP_011862500.1	WP_011862500.1		
DUF1295 domain-containing protein	lipid metabolic process	integral component of membrane // membrane	"oxidoreductase activity, acting on the CH-CH group of donors"	P9301_RS16445		WP_011863469.1	WP_011863469.1		PF02544
DUF1823 family protein				P9301_RS11080		WP_011862415.1	WP_011862415.1		PF08853
excinuclease ABC subunit UvrB	nucleic acid phosphodiester bond hydrolysis // SOS response // cellular response to DNA damage stimulus // nucleotide-excision repair // DNA repair	excinuclease repair complex // cytoplasm	ATPase // hydrolase activity // excinuclease ABC activity // ATP binding // nuclease activity // helicase activity // DNA binding // nucleotide binding	uvrB		WP_011863746.1	WP_011863746.1		PF04851
elongation factor G	translational elongation // translation	cytoplasm	GTP binding // GTPase activity // translation elongation factor activity // nucleotide binding	fusA		WP_011863618.1	WP_011863618.1		PF00009
urease subunit gamma	urea catabolic process // urea metabolic process	cytoplasm	hydrolase activity // nickel cation binding // urease activity	ureA		WP_011862863.1	WP_011862863.1		PF00547
exodeoxyribonuclease V subunit chi	DNA metabolic process	exodeoxyribonuclease V complex	hydrolase activity // exodeoxyribonuclease V activity // ATP binding // helicase activity // DNA binding // nucleotide binding	P9301_RS14865		WP_011863163.1	WP_011863163.1		PF04257
homoserine O-succinyltransferase	methionine biosynthetic process // cellular amino acid biosynthetic process	cytoplasm	"transferase activity, transferring acyl groups // transferase activity // homoserine O-succinyltransferase activity // homoserine O-acetyltransferase activity"	P9301_RS12370	superpathway of L-homoserine and L-methionine biosynthesis // L-methionine biosynthesis I	WP_041484751.1	WP_041484751.1		PF04204
lycopene &beta; cyclase	carotenoid biosynthetic process		"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	lcyB	&alpha;-carotene biosynthesis // &beta;-carotene biosynthesis	WP_011863121.1	WP_011863121.1		PF05834
phosphoribosylglycinamide formyltransferase	biosynthetic process // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process		"hydroxymethyl-, formyl- and related transferase activity // transferase activity // phosphoribosylglycinamide formyltransferase activity"	purN	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I // superpathway of tetrahydrofolate biosynthesis and salvage // 5-aminoimidazole ribonucleotide biosynthesis I // tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate"	WP_011862939.1	WP_011862939.1		PF00551
FAD-binding oxidoreductase			FAD binding // flavin adenine dinucleotide binding // oxidoreductase activity	P9301_RS12380		WP_011862661.1	WP_011862661.1		PF01565
sirohydrochlorin chelatase	cobalamin biosynthetic process		sirohydrochlorin cobaltochelatase activity	P9301_RS12385	siroheme biosynthesis	WP_144038826.1	WP_144038826.1		PF01903
molecular chaperone DnaJ	response to heat // protein folding // DNA replication	cytoplasm	unfolded protein binding // metal ion binding // heat shock protein binding // zinc ion binding // ATP binding	dnaJ		WP_011862044.1	WP_011862044.1		PF00226
thioredoxin-dependent thiol peroxidase	cellular oxidant detoxification // cell redox homeostasis		oxidoreductase activity // antioxidant activity	P9301_RS09540		WP_011862119.1	WP_011862119.1		PF00578
"2-carboxy-1,4-naphthoquinone phytyltransferase"	phylloquinone biosynthetic process	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	"transferase activity, transferring alkyl or aryl (other than methyl) groups // transferase activity // prenyltransferase activity"	menA	phylloquinol biosynthesis	WP_011862221.1	WP_011862221.1		PF01040
transcription-repair coupling factor	"cellular response to DNA damage stimulus // regulation of transcription, DNA-templated // DNA repair // transcription-coupled nucleotide-excision repair, DNA damage recognition"	cytoplasm	hydrolase activity // ATP binding // damaged DNA binding // DNA binding // nucleic acid binding // nucleotide binding	mfd		WP_011862995.1	WP_011862995.1		PF17757
pentameric carboxysome shell protein CsoS4A				csoS4A		WP_002805244.1	WP_002805244.1		PF03319
prephenate/arogenate dehydrogenase	tyrosine biosynthetic process		oxidoreductase activity // prephenate dehydrogenase (NAD+) activity // prephenate dehydrogenase (NADP+) activity	P9301_RS17400	superpathway of L-tyrosine biosynthesis // L-tyrosine biosynthesis I	WP_011863667.1	WP_011863667.1		PF02153
AAA family ATPase			ATP binding	P9301_RS15640		WP_011863320.1	WP_011863320.1		PF00004
Influenza RNA-dependent RNA polymerase-like protein	"transcription, RNA-templated"		RNA-directed 5'-3' RNA polymerase activity	P9301_RS13930		WP_011862976.1	WP_011862976.1		
tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	queuosine biosynthetic process	cytoplasm	isomerase activity // transferase activity	queA	queuosine biosynthesis I (<i>de novo</i>)	WP_011862430.1	WP_011862430.1		PF02547
ATP synthase beta subunit				atpD		WP_011863550.1	WP_011863550.1		PF02874
hypothetical protein				P9301_RS12930		WP_011862779.1	WP_011862779.1		PF09876
esterase			hydrolase activity	P9301_RS10510		WP_011862308.1	WP_011862308.1		PF02230
chromosome segregation protein SMC	chromosome organization // chromosome condensation // sister chromatid cohesion // chromosome segregation // DNA replication	cytoplasm // chromosome	ATP binding // DNA binding // nucleotide binding	smc		WP_011862096.1	WP_011862096.1		PF02463
biotin--[acetyl-CoA-carboxylase] ligase	cellular protein modification process		ligase activity // biotin-[acetyl-CoA-carboxylase] ligase activity	birA	biotin-carboxyl carrier protein assembly	WP_011862455.1	WP_011862455.1		PF03099
TIGR00297 family protein		integral component of membrane // membrane		P9301_RS12625		WP_011862710.1	WP_011862710.1		PF01940
AIR synthase				P9301_RS18375	superpathway of purine nucleotides <i>de novo</i> biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis I	WP_011863779.1	WP_011863779.1		
Peptidase family M20/M25/M40-like protein				P9301_RS15515		WP_011863297.1	WP_011863297.1		
chromosomal replication initiator protein DnaA	regulation of DNA replication // DNA replication initiation // DNA replication	cytoplasm	sequence-specific DNA binding // ATP binding // DNA replication origin binding // DNA binding // nucleotide binding	dnaA		WP_011862581.1	WP_011862581.1		PF11638
pyridoxamine 5'-phosphate oxidase	pyridoxal phosphate biosynthetic process // pyridoxine biosynthetic process		oxidoreductase activity // FMN binding // pyridoxamine-phosphate oxidase activity	P9301_RS16450	pyridoxal 5'-phosphate biosynthesis I	WP_011863470.1	WP_011863470.1		PF12766
cell division topological specificity factor MinE	cell division // regulation of division septum assembly // cell cycle			minE		WP_144038825.1	WP_144038825.1		PF03776
hypothetical protein		integral component of membrane // membrane		P9301_RS15085		WP_011863210.1	WP_011863210.1		
ABC transporter ATP-binding protein			ATPase // ATP binding // nucleotide binding	P9301_RS14485		WP_011863092.1	WP_011863092.1		PF00005
2-phosphosulfolactate phosphatase family protein				P9301_RS12225		WP_041484670.1	WP_041484670.1		PF04029
30S ribosomal protein S7	translation	small ribosomal subunit // ribosome	rRNA binding // structural constituent of ribosome // RNA binding // tRNA binding	rpsG		WP_002806267.1	WP_002806267.1		PF00177
hypothetical protein		integral component of membrane // membrane		P9301_RS15365		WP_011863269.1	WP_011863269.1		
GntR family transcriptional regulator	"regulation of transcription, DNA-templated"		DNA-binding transcription factor activity // DNA binding	P9301_RS17780		WP_011863736.1	WP_011863736.1		PF00392
phosphoglucosamine mutase	organic substance metabolic process // carbohydrate metabolic process		"metal ion binding // intramolecular transferase activity, phosphotransferases // isomerase activity // phosphoglucosamine mutase activity // magnesium ion binding"	glmM	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	WP_011862285.1	WP_011862285.1		PF02878
riboflavin synthase			transferase activity // riboflavin synthase activity	ribE	flavin biosynthesis I (bacteria and plants)	WP_011862464.1	WP_011862464.1		PF00677
Predicted GTPase	ribosomal small subunit biogenesis // ribosome biogenesis	cytoplasm	metal ion binding // rRNA binding // hydrolase activity // GTP binding // GTPase activity // RNA binding // nucleotide binding	P9301_RS09190		WP_011862046.1	WP_011862046.1		PF03193
membrane protein		integral component of membrane // membrane		P9301_RS09905		WP_011862193.1	WP_011862193.1		PF07298
GNAT family N-acetyltransferase		integral component of membrane // membrane		P9301_RS15800		WP_011863351.1	WP_011863351.1		PF13480
excinuclease ABC subunit UvrA	nucleic acid phosphodiester bond hydrolysis // SOS response // cellular response to DNA damage stimulus // nucleotide-excision repair // DNA repair	excinuclease repair complex // cytoplasm	metal ion binding // ATPase // excinuclease ABC activity // zinc ion binding // ATP binding // nuclease activity // DNA binding // nucleotide binding	uvrA		WP_011863806.1	WP_011863806.1		PF17760
ATP synthase epsilon subunit	ATP synthesis coupled proton transport // ion transport // ATP biosynthetic process	"proton-transporting ATP synthase complex, catalytic core F(1) // thylakoid membrane // membrane // thylakoid"	"proton-transporting ATP synthase activity, rotational mechanism // ATP binding"	atpC		WP_011863551.1	WP_011863551.1		PF02823
Hsp33 family molecular chaperone HslO	protein folding	cytoplasm	unfolded protein binding	P9301_RS12605		WP_011862706.1	WP_011862706.1		PF01430
Possible DDT domain-containing protein				P9301_RS12750		WP_041484755.1	WP_041484755.1		
RNA methyltransferase	methylation // RNA processing // RNA methylation		transferase activity // RNA methyltransferase activity // methyltransferase activity // RNA binding	P9301_RS16130		WP_071813383.1	WP_071813383.1		PF08032
CPBP family intramembrane metalloprotease	CAAX-box protein processing // proteolysis	integral component of membrane // membrane	peptidase activity // cysteine-type endopeptidase activity	P9301_RS11730		WP_011862535.1	WP_011862535.1		PF02517
uroporphyrinogen decarboxylase	protoporphyrinogen IX biosynthetic process // porphyrin-containing compound biosynthetic process	cytoplasm	carboxy-lyase activity // lyase activity // uroporphyrinogen decarboxylase activity	hemE	"heme <i>b</i> biosynthesis I (aerobic) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)"	WP_011862599.1	WP_011862599.1		PF01208
Cytochrome b559 alpha subunit PsbE	"photosynthesis, light reaction // photosynthesis // photosynthetic electron transport chain"	thylakoid membrane // integral component of membrane // membrane // thylakoid // photosystem II	metal ion binding // heme binding // electron transfer activity // iron ion binding	psbE		WP_002806020.1	WP_002806020.1		PF00283
dolichol kinase				P9301_RS18090		WP_041484734.1	WP_041484734.1		
Na+-dependent bicarbonate transporter SbtA		integral component of membrane // membrane		sbtA		WP_011862256.1	WP_011862256.1		PF05982
hypothetical protein				P9301_RS14280		WP_041484692.1	WP_041484692.1		
ABC transporter ATP-binding protein			ATPase // hydrolase activity // ATP binding // nucleotide binding	salX		WP_011862456.1	WP_011862456.1		PF00005
YajQ family cyclic di-GMP-binding protein				P9301_RS11555		WP_011862501.1	WP_011862501.1		PF04461
molecular chaperone DnaJ	"regulation of transcription, DNA-templated"			P9301_RS13835		WP_011862956.1	WP_011862956.1		
hypothetical protein				P9301_RS13195		WP_011862827.1	WP_011862827.1		
DEAD/DEAH box helicase			hydrolase activity // ATP binding // helicase activity // nucleic acid binding // nucleotide binding	P9301_RS14845		WP_011863159.1	WP_011863159.1		PF00270
DoxX family protein		integral component of membrane // membrane		P9301_RS16455		WP_011863472.1	WP_011863472.1		PF07681
hypothetical protein		integral component of membrane // membrane		P9301_RS14440		WP_011863081.1	WP_011863081.1		
ferritin	cellular iron ion homeostasis // iron ion transport	cytoplasm	metal ion binding // ferric iron binding	P9301_RS13250		WP_011862837.1	WP_011862837.1		PF00210
CTP synthase	'de novo' CTP biosynthetic process // glutamine metabolic process // CTP biosynthetic process // pyrimidine nucleotide biosynthetic process		metal ion binding // ligase activity // ATP binding // CTP synthase activity // nucleotide binding	pyrG	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // superpathway of pyrimidine nucleobases salvage // UTP and CTP dephosphorylation I // UTP and CTP <i>de novo</i> biosynthesis // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-glutamine degradation I	WP_011863785.1	WP_011863785.1		PF06418
tyrosine--tRNA ligase	tyrosyl-tRNA aminoacylation // tRNA aminoacylation for protein translation // translation	cytoplasm	ligase activity // ATP binding // tyrosine-tRNA ligase activity // aminoacyl-tRNA ligase activity // RNA binding // nucleotide binding	tyrS	tRNA charging	WP_011863443.1	WP_011863443.1		PF00579
organoarsenical effux MFS transporter ArsJ	transmembrane transport	integral component of membrane // membrane	transmembrane transporter activity	arsJ		WP_011863186.1	WP_011863186.1		PF07690
3-isopropylmalate dehydrogenase	leucine biosynthetic process // branched-chain amino acid biosynthetic process // cellular amino acid biosynthetic process	cytoplasm	"NAD binding // metal ion binding // oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity // 3-isopropylmalate dehydrogenase activity // magnesium ion binding"	leuB	superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis	WP_011862821.1	WP_011862821.1		PF00180
30S ribosomal protein S12	translation	small ribosomal subunit // ribosome	rRNA binding // structural constituent of ribosome // RNA binding // tRNA binding	rpsL		WP_011863619.1	WP_011863619.1		PF00164
hypothetical protein				P9301_RS13305		WP_011862850.1	WP_011862850.1		
hypothetical protein				P9301_RS17930		WP_011863762.1	WP_011863762.1		
PAS domain-containing sensor histidine kinase	peptidyl-histidine phosphorylation // phosphorylation // signal transduction // phosphorelay signal transduction system		"transferase activity, transferring phosphorus-containing groups // transferase activity // kinase activity // ATP binding // protein histidine kinase activity // nucleotide binding // phosphorelay sensor kinase activity"	P9301_RS15000		WP_011863190.1	WP_011863190.1		PF00512
Thiamine monophosphate synthase	thiamine diphosphate biosynthetic process // thiamine biosynthetic process		metal ion binding // transferase activity // thiamine-phosphate diphosphorylase activity // catalytic activity // magnesium ion binding	thiE	thiamine diphosphate biosynthesis I (E. coli)	WP_011863391.1	WP_011863391.1		PF17792
Uroporphyrin-III c-methyltransferase	methylation // siroheme biosynthetic process		transferase activity // methyltransferase activity // uroporphyrin-III C-methyltransferase activity	cysG	"cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation) // siroheme biosynthesis // cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)"	WP_011863790.1	WP_011863790.1		PF00590
ATP phosphoribosyltransferase regulatory subunit		cytoplasm	aminoacyl-tRNA ligase activity	P9301_RS13690	L-histidine biosynthesis	WP_011862930.1	WP_011862930.1		PF13393
sulfurtransferase TusA family protein				P9301_RS09185		WP_011862045.1	WP_011862045.1		PF01206
30S ribosomal protein PSRP-3	translation	ribosome	structural constituent of ribosome	P9301_RS16770		WP_011863552.1	WP_011863552.1		PF04839
DUF393 domain-containing protein				P9301_RS14270		WP_011863048.1	WP_011863048.1		PF04134
Possible Villin headpiece domain-containing protein				P9301_RS14735		WP_041484701.1	WP_041484701.1		
hypothetical protein				P9301_RS15215		WP_011818720.1	WP_011818720.1		
serine--tRNA ligase	selenocysteinyl-tRNA(Sec) biosynthetic process // selenocysteine biosynthetic process // seryl-tRNA aminoacylation // tRNA aminoacylation for protein translation // translation	cytoplasm	ligase activity // ATP binding // serine-tRNA ligase activity // aminoacyl-tRNA ligase activity // nucleotide binding	serS	tRNA charging	WP_011863321.1	WP_011863321.1		PF02403
class II fructose-bisphosphatase	reductive pentose-phosphate cycle // dephosphorylation // gluconeogenesis // glycerol metabolic process // carbohydrate metabolic process		"sedoheptulose-bisphosphatase activity // metal ion binding // fructose 1,6-bisphosphate 1-phosphatase activity // hydrolase activity"	glpX	oxygenic photosynthesis // Calvin-Benson-Bassham cycle	WP_011862804.1	WP_011862804.1		PF03320
hypothetical protein		integral component of membrane // membrane		P9301_RS14245		WP_011863041.1	WP_011863041.1		
hypothetical protein				P9301_RS18215		WP_011863212.1	WP_011863212.1		PF13759
TIGR03279 family radical SAM protein			catalytic activity	P9301_RS09635		WP_011862141.1	WP_011862141.1		PF04459
NAD(P)H-quinone oxidoreductase chain 2	"ATP synthesis coupled electron transport // photosynthesis, light reaction"	thylakoid membrane // integral component of membrane // membrane // thylakoid	"quinone binding // oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor // NADH dehydrogenase (ubiquinone) activity"	ndhB		WP_011862457.1	WP_011862457.1		PF00361
RNB domain-containing ribonuclease	RNA phosphodiester bond hydrolysis // nucleic acid phosphodiester bond hydrolysis		hydrolase activity // ribonuclease activity // exonuclease activity // nuclease activity // RNA binding // nucleic acid binding	P9301_RS13980		WP_041484689.1	WP_041484689.1		PF08206
hypothetical protein				P9301_RS14285		WP_011863050.1	WP_011863050.1		PF13483
DNA replication/repair protein RecF	SOS response // cellular response to DNA damage stimulus // DNA repair // DNA replication	cytoplasm	ATP binding // single-stranded DNA binding // DNA binding // nucleotide binding	recF		WP_071813385.1	WP_071813385.1		PF02463
DUF3155 domain-containing protein				P9301_RS10515		WP_011817760.1	WP_011817760.1		PF11352
histidine--tRNA ligase	histidyl-tRNA aminoacylation // translation	cytoplasm	ligase activity // ATP binding // histidine-tRNA ligase activity // aminoacyl-tRNA ligase activity // nucleotide binding	hisS	tRNA charging	WP_011862639.1	WP_011862639.1		PF13393
deoxyribodipyrimidine photo-lyase			lyase activity	P9301_RS16460		WP_011863473.1	WP_011863473.1		PF03441
Possible Conserved carboxylase domain-containing protein				P9301_RS17525		WP_011863691.1	WP_011863691.1		
Possible DnaJ central domain (4 repeats)				P9301_RS12775		WP_011862745.1	WP_011862745.1		
hypothetical protein		integral component of membrane // membrane		P9301_RS12435		WP_011862672.1	WP_011862672.1		
Possible Uncharacterized protein family UPF003		integral component of membrane // membrane		P9301_RS15150		WP_011863229.1	WP_011863229.1		
hypothetical protein				P9301_RS13920		WP_011818445.1	WP_011818445.1		
SsrA-binding protein SmpB	trans-translation	cytoplasm	RNA binding	smpB		WP_011863716.1	WP_011863716.1		PF01668
class I SAM-dependent methyltransferase				P9301_RS15805		WP_011863352.1	WP_011863352.1		PF02353
ferredoxin-dependent glutamate synthase				glsF	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-glutamine degradation I // ammonia assimilation cycle II // L-glutamate biosynthesis V	WP_011863621.1	WP_011863621.1		PF00310
plastoquinol terminal oxidase		integral component of membrane // membrane	alternative oxidase activity	P9301_RS10890		WP_011862370.1	WP_011862370.1		PF01786
ATP-dependent Clp protease adapter ClpS	protein catabolic process			clpS		WP_011862967.1	WP_011862967.1		PF02617
type III pantothenate kinase	phosphorylation		pantothenate kinase activity	P9301_RS09545	phosphopantothenate biosynthesis I	WP_011862120.1	WP_011862120.1		PF03309
adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase				cobP	"adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide"	WP_011862965.1	WP_011862965.1		PF02283
thiazole synthase	thiamine diphosphate biosynthetic process // thiamine biosynthetic process	cytoplasm	sulfurtransferase activity // transferase activity // catalytic activity	thiG	superpathway of thiamine diphosphate biosynthesis II // thiazole component of thiamine diphosphate biosynthesis II	WP_011863759.1	WP_011863759.1		PF05690
cyclophilin	protein peptidyl-prolyl isomerization		isomerase activity // peptidyl-prolyl cis-trans isomerase activity	P9301_RS15440		WP_011863283.1	WP_011863283.1		PF00160
M24 family metallopeptidase	proteolysis		metal ion binding // manganese ion binding // hydrolase activity // aminopeptidase activity	P9301_RS16775		WP_011863554.1	WP_011863554.1		PF05195
beta-ketoacyl-ACP synthase II	fatty acid biosynthetic process		"beta-ketoacyl-acyl-carrier-protein synthase II activity // transferase activity, transferring acyl groups other than amino-acyl groups // transferase activity, transferring acyl groups // transferase activity // catalytic activity"	fabF	"stearate biosynthesis II (bacteria and plants) // fatty acid elongation -- saturated // <i>cis</i>-vaccenate biosynthesis // gondoate biosynthesis (anaerobic) // palmitate biosynthesis II (bacteria and plant cytoplasm) // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"	WP_011863710.1	WP_011863710.1		PF00109
NAD(P)H-quinone oxidoreductase chain 5				ndhF		WP_011862194.1	WP_011862194.1		PF00662
Cytochrome b559 beta chain PsbF	"photosynthesis, light reaction // photosynthesis // photosynthetic electron transport chain"	thylakoid membrane // integral component of membrane // membrane // thylakoid // photosystem II reaction center // photosystem II	metal ion binding // heme binding // electron transfer activity // iron ion binding	psbF		WP_011375863.1	WP_011375863.1		PF00283
Glycyl-tRNA synthetase beta subunit	glycyl-tRNA aminoacylation // translation	cytoplasm	ligase activity // ATP binding // glycine-tRNA ligase activity // aminoacyl-tRNA ligase activity // nucleotide binding	glyS		WP_011862796.1	WP_011862796.1		PF02092
hypothetical protein		integral component of membrane // membrane		P9301_RS11735		WP_041484667.1	WP_041484667.1		
hypothetical protein				P9301_RS11560		WP_011862502.1	WP_011862502.1		
Possible Transcription factor TFIID (Or TATA-b)		integral component of membrane // membrane		P9301_RS09245		WP_011862057.1	WP_011862057.1		
isochorismate synthase	biosynthetic process		isomerase activity // isochorismate synthase activity	menF	"2-carboxy-1,4-naphthoquinol biosynthesis"	WP_011862222.1	WP_011862222.1		PF00425
DUF1651 domain-containing protein				P9301_RS12700		WP_011862725.1	WP_011862725.1		PF07864
Pyruvate dehydrogenase E1 component beta subunit	acetyl-CoA biosynthetic process from pyruvate		oxidoreductase activity // pyruvate dehydrogenase (acetyl-transferring) activity // catalytic activity	acoB		WP_011862899.1	WP_011862899.1		PF02779
